request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
"request_26","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_27","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_28","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_29","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_30","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_31","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_32","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_33","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_34","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_35","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_36","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_37","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_38","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_39","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_40","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_41","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_42","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_43","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_44","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_45","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_46","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_47","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_48","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_49","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_50","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_51","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_52","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_53","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_54","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_55","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_56","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_57","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_58","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_59","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_60","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_61","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_62","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_63","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_64","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_65","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_66","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_67","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_68","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_69","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_70","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_71","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_72","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_73","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_74","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_75","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_76","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_77","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_78","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_79","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_80","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_81","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_82","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_83","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_84","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_85","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_86","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_87","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_88","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_89","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_90","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_91","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_92","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_93","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_94","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_95","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_96","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_97","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_98","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_99","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_100","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_101","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_102","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_103","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_104","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_105","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_106","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_107","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_108","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_109","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_110","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_111","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
